time,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,error_norm,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6
11.705,0.5926189999999998,-0.2939030000000002,1.0095000018775466,0.5924084635462264,-0.2938902977057253,1.0058504148985363,0.00021053645377333563,-1.2702294274913317e-05,0.0036495869790102997,0.003655676690300829,0.020132485551725025,1.2344374967113858,0.642123907012958,0.3452314359125878,0.009081530813490234,0.036430290125459
11.715,0.5926189999999998,-0.2939030000000002,1.0095000018775466,0.5924117727956978,-0.29388343248935317,1.005850440445256,0.00020722720430199626,-1.956751064702278e-05,0.003649561432290671,0.0036554923949776285,0.004090381527474874,0.29398385426007434,0.15292297483405692,0.08217349248347355,0.0017454927158527722,0.008738513513039472
11.725,0.5926189999999998,-0.2939030000000002,1.0095000018775466,0.592414589833907,-0.2938775815722166,1.0058505095307715,0.00020441016609273888,-2.5418427783585607e-05,0.0036494923467751406,0.003655300808639882,0.0034897393026288104,0.2940405824254553,0.1529525134842441,0.0821539501248158,0.0013939189363455905,0.008782975801220163
11.735,0.5926189999999998,-0.2939030000000002,1.0095000018775466,0.5924169939599166,-0.293872595496698,1.005850619513561,0.00020200604008313583,-3.0404503302217112e-05,0.0036493823639855982,0.0036550954177176054,0.0029764730187657137,0.29409336188226365,0.15298018740368735,0.08213883992153168,0.0010976227236146397,0.008813376993889364
11.745,0.5926189999999998,-0.2939030000000002,1.0095000018775466,0.5924190501561115,-0.29386834652070337,1.005850761302164,0.00019994984388826964,-3.4653479296820056e-05,0.0036492405753825174,0.0036548785999970567,0.002537830440610903,0.29414315533123225,0.15300645164719234,0.08212635895902898,0.0008476989310210658,0.008833905294055696
11.755,0.5926189999999998,-0.2939030000000002,1.0095000018775466,0.5924223223669093,-0.2938616395473503,1.0058510916894532,0.0001966776330905029,-4.136045264990784e-05,0.003648910188093435,0.0036544409065099896,0.0018424131037828105,0.2941794811948489,0.15302625325957597,0.08208984923162574,0.000457418279459878,0.008854676740699806
11.765,0.5926189999999998,-0.2939030000000002,1.0095000018775466,0.5924236184553341,-0.2938590089932282,1.0058512570476403,0.0001953815446656959,-4.399100677199286e-05,0.003648744829906292,0.0036542369915538676,0.0015689967256441327,0.29422680220746567,0.1530512964652064,0.08208200214864261,0.0003054297467368494,0.008860326360787936
11.775,0.5926189999999998,-0.2939030000000002,1.0095000018775466,0.5924247302552689,-0.2938567661268207,1.0058514105945537,0.00019426974473091274,-4.62338731794798e-05,0.0036485912829928857,0.0036540520870779417,0.0013355717051340985,0.2942749591773448,0.1530767038992157,0.08207589677332056,0.00017602862383458984,0.00886379846415758
11.785,0.5926189999999998,-0.2939030000000002,1.0095000018775466,0.5924264995721524,-0.2938532208896635,1.0058516636157067,0.000192500427847353,-4.9779110336711785e-05,0.0036483382618399673,0.0036537523790416892,0.0009660086271441779,0.29431648416212064,0.1530987420868944,0.08205358967832853,-2.8655631594225463e-05,0.008865207719531415
11.795,0.5926189999999998,-0.2939030000000002,1.0095000018775466,0.5924271977207892,-0.2938518274481856,1.005851760383761,0.00019180227921056225,-5.1172551814582246e-05,0.003648241493785731,0.003653638288247692,0.000820803794512278,0.2943688092475739,0.1531260441270217,0.08205411549739561,-0.00010926399960371924,0.008865798285597226
11.805,0.5926189999999998,-0.2939030000000002,1.0095000018775466,0.5924277941123838,-0.29385063728105876,1.005851838886225,0.00019120588761600832,-5.2362718941434405e-05,0.0036481629913216462,0.0036535455049914005,0.0006968043264222344,0.2944224443909794,0.15315395495995554,0.08205699980371611,-0.00017819952806974015,0.008866089977182644
11.815,0.5926189999999998,-0.2939030000000002,1.0095000018775466,0.5924283029684272,-0.2938496202177688,1.0058519018734433,0.00019069703157259532,-5.337978223141082e-05,0.0036481000041033163,0.003653470733280929,0.0005908745447636275,0.29447716344775215,0.15318237602961426,0.08206212683571061,-0.00023714922113938553,0.008866248876653667
11.825,0.5926189999999998,-0.2939030000000002,1.0095000018775466,0.5924287367061025,-0.29384875067602506,1.0058519526353589,0.0001902632938972637,-5.4249323975130714e-05,0.0036480492421877564,0.003653410240252668,0.0005003439407828978,0.294532704046936,0.1532111906523788,0.08206929364490477,-0.0002875441741898044,0.008866384344306387
11.835,0.5926189999999998,-0.2939030000000002,1.0095000018775466,0.5924294207454445,-0.29384737072349704,1.0058520305508933,0.00018957925455531655,-5.562927650315519e-05,0.0036479713266532876,0.0036533176306265186,0.00035666006309428155,0.29458647716475633,0.15323897614020152,0.08207230724920074,-0.0003673234374946599,0.008865067294278764
11.845,0.5926189999999998,-0.2939030000000002,1.0095000018775466,0.5924296886206222,-0.29384682632541437,1.005852063266965,0.00018931137937761022,-5.617367458582434e-05,0.003647938610581658,0.0036532794016678723,0.0003000281694946025,0.29464305639734084,0.1532683232168677,0.08208395473007118,-0.0003987306572300753,0.008865448744711204
11.855,0.5926189999999998,-0.2939030000000002,1.0095000018775466,0.592429916807717,-0.2938463605146017,1.0058520945667024,0.0001890831922828351,-5.6639485398468636e-05,0.0036479073108441895,0.0036532435223265033,0.0002515745924999777,0.29469964736359855,0.15329769207903435,0.08209654480092861,-0.0004255443920724078,0.008865951979006638
11.865,0.5926189999999998,-0.2939030000000002,1.0095000018775466,0.5924301113121082,-0.29384596199421925,1.0058521257373327,0.0001888886878915752,-5.703800578094054e-05,0.0036478761402138904,0.0036532085356380437,0.0002101187136944036,0.2947561653078007,0.15332704148844375,0.0821098485415277,-0.00044843789115756483,0.008866578842080487
