time,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_dist,computation_time
0.847,-0.11126290321223141,-0.4821575748901704,1.020619577426395,-0.11129273447928915,-0.48223885326758575,1.0203742692826752,0.00026013874087658673,0.005185604095458984
0.854,-0.11125861472547052,-0.48205013997737733,1.0206878786940945,-0.11129273447928915,-0.48223885326758575,1.0203742692826752,0.000367597233984035,0.0190279483795166
0.86,-0.11125261267295716,-0.48189977691826,1.0207834713397799,-0.11129273447928915,-0.48223885326758575,1.0203742692826752,0.0005329435744561796,0.005178213119506836
0.868,-0.11124489888297467,-0.481706531514863,1.020906326245005,-0.11129273447928915,-0.48223885326758575,1.0203742692826752,0.0007541480649450568,0.033876657485961914
0.875,-0.11123547570521822,-0.48147046263160803,1.0210564059869764,-0.11129273447928915,-0.48223885326758575,1.0203742692826752,0.001029083679795464,0.009027719497680664
0.881,-0.11122434601007902,-0.4811916421773639,1.0212336648499503,-0.11129273447928915,-0.48223885326758575,1.0203742692826752,0.001356425003919012,0.007416486740112305
0.887,-0.11121151318777005,-0.4808701550835419,1.02143804883916,-0.11119371346063028,-0.48119138213970325,1.0182852746421889,0.0031691463817537027,0.005257606506347656
0.895,-0.11119698114729326,-0.48050609927822513,1.021669495697262,-0.11119371346063028,-0.48119138213970325,1.0182852746421889,0.0034529082564719927,0.02517080307006836
0.903,-0.111180754315249,-0.48009958565633865,1.0219279349233021,-0.11119371346063028,-0.48119138213970325,1.0182852746421889,0.003802783378544785,0.03585696220397949
0.909,-0.11116283763448746,-0.4796507380458696,1.0222132877941879,-0.11119371346063028,-0.48119138213970325,1.0182852746421889,0.004219457887309865,0.005361795425415039
0.915,-0.1111432365626032,-0.4791596931701483,1.0225254673886708,-0.11119371346063028,-0.48119138213970325,1.0182852746421889,0.0047020785311991066,0.030303478240966797
0.921,-0.11112195707027259,-0.4786266006062006,1.0228643786138223,-0.11119371346063028,-0.48119138213970325,1.0182852746421889,0.005248947177976004,0.006678104400634766
0.927,-0.1110990056394351,-0.4780516227391858,1.023229918234,-0.11086813652898571,-0.47894540524873175,1.0196186612047005,0.0037273750887446967,0.006873130798339844
0.933,-0.11107438926131893,-0.477434934712932,1.0236219749022943,-0.11086813652898571,-0.47894540524873175,1.0196186612047005,0.0042837579285548814,0.009102582931518555
0.94,-0.11104811543431131,-0.47677672437658614,1.0240404291944465,-0.11086813652898571,-0.47894540524873175,1.0196186612047005,0.0049282452543187305,0.019374847412109375
0.946,-0.11102019216167447,-0.4760771922273928,1.0244851536452253,-0.11086813652898571,-0.47894540524873175,1.0196186612047005,0.005650886260127346,0.043360233306884766
0.952,-0.11099062794910775,-0.47533655134962116,1.024956012787255,-0.11086813652898571,-0.47894540524873175,1.0196186612047005,0.0064440788735805185,0.00807809829711914
0.958,-0.11095943180215669,-0.4745550273496574,1.0254528631922795,-0.11086813652898571,-0.47894540524873175,1.0196186612047005,0.007302168565258873,0.008397340774536133
0.964,-0.11092661322346985,-0.47373285828728257,1.0259755535148525,-0.11057734773369143,-0.47512905672855255,1.0224683173863354,0.003791050214773021,0.006455659866333008
0.972,-0.11089218220990424,-0.47287029460315777,1.026523924538438,-0.11057734773369143,-0.47512905672855255,1.0224683173863354,0.004652856806169408,0.041510820388793945
0.978,-0.11085614924948012,-0.4719675990425369,1.0270978092239105,-0.11057734773369143,-0.47512905672855255,1.0224683173863354,0.0056129083067379725,0.015640974044799805
0.984,-0.11081852531818628,-0.4710250465752323,1.027697032760435,-0.11057734773369143,-0.47512905672855255,1.0224683173863354,0.006651355533209985,0.009321212768554688
0.992,-0.1107793218766367,-0.4700429243118564,1.0283214126187177,-0.11057734773369143,-0.47512905672855255,1.0224683173863354,0.007756820245043864,0.04181361198425293
0.999,-0.11073855086657941,-0.4690215314163645,1.0289707586066053,-0.11057734773369143,-0.47512905672855255,1.0224683173863354,0.008922420843702431,0.01291346549987793
1.005,-0.11069622470725905,-0.46796117901492706,1.0296448729270193,-0.11028598321756497,-0.4699384067469014,1.025960914603765,0.004201104201448741,0.009396553039550781
1.011,-0.11065235629163378,-0.4668621901011574,1.0303435502382077,-0.11028598321756497,-0.4699384067469014,1.025960914603765,0.005367013432556539,0.009769916534423828
1.017,-0.11060695898244795,-0.4657248994377249,1.0310665777162933,-0.11028598321756497,-0.4699384067469014,1.025960914603765,0.006627553478076126,0.00957942008972168
1.023,-0.1105600466081617,-0.4645496534543827,1.0318137351201018,-0.11028598321756497,-0.4699384067469014,1.025960914603765,0.007960482446821297,0.006096601486206055
1.029,-0.11051163345873871,-0.46333681014244227,1.0325847948582503,-0.11028598321756497,-0.4699384067469014,1.025960914603765,0.009354559604017126,0.006803750991821289
1.035,-0.11046173428129327,-0.4620867389457255,1.0333795220584732,-0.11028598321756497,-0.4699384067469014,1.025960914603765,0.010803486116225485,0.01044154167175293
1.041,-0.11041036427559821,-0.46079982064802855,1.0341976746391666,-0.11028598321756497,-0.4699384067469014,1.025960914603765,0.012303391500513152,0.005636453628540039
1.048,-0.11035753908945492,-0.4594764472571316,1.0350390033831287,-0.10983247749819043,-0.4627632574639659,1.0303278307122623,0.005768358427238188,0.009113311767578125
1.054,-0.11030327481392681,-0.4581170218853894,1.035903252013474,-0.10983247749819043,-0.4627632574639659,1.0303278307122623,0.007272858987368115,0.005854368209838867
1.06,-0.11024758797843787,-0.4567219586269391,1.0367901572716978,-0.10983247749819043,-0.4627632574639659,1.0303278307122623,0.00885614322997645,0.005028963088989258
