time,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_dist,computation_time
2.003,-0.11126547707157276,-0.482222285609103,1.0205809148327967,-0.11127587299591127,-0.48224303167768906,1.0205087382425528,7.581513558554686e-05,0.019343852996826172
2.009,-0.11126290345682306,-0.48215781151427983,1.020621903385792,-0.11127587299591127,-0.48224303167768906,1.0205087382425528,0.00014225693248480023,0.004190683364868164
2.016,-0.11125861496996903,-0.4820503765113892,1.0206902037678542,-0.11127587299591127,-0.48224303167768906,1.0205087382425528,0.00026522365926583624,0.010258674621582031
2.022,-0.11125261291732533,-0.4819000133261739,1.0207857951740251,-0.11127587299591127,-0.48224303167768906,1.0205087382425528,0.000441546332799689,0.0050601959228515625
2.029,-0.11124489912717532,-0.4817067677607166,1.0209086484862366,-0.11127587299591127,-0.48224303167768906,1.0205087382425528,0.0006696764682997104,0.0057582855224609375
2.036,-0.11123547594921424,-0.4814706986794886,1.0210587262821795,-0.11127587299591127,-0.48224303167768906,1.0205087382425528,0.0009490084431782236,0.021838665008544922
2.042,-0.11122434625383333,-0.48119187799141894,1.0212359828467035,-0.11120771717956615,-0.48125748838360116,1.0183120903433776,0.0029246758146295126,0.005680561065673828
2.048,-0.11121151343124568,-0.48087039062799014,1.0214403641857417,-0.11120771717956615,-0.48125748838360116,1.0183120903433776,0.003152135199629862,0.014708280563354492
2.058,-0.11119698139045331,-0.4805063345173675,1.0216718080427583,-0.11120771717956615,-0.48125748838360116,1.0183120903433776,0.003442680700770491,0.038924217224121094
2.064,-0.11118075455805665,-0.4800998205545689,1.0219302439177127,-0.11120771717956615,-0.48125748838360116,1.0183120903433776,0.003798941572702736,0.00436091423034668
2.073,-0.11116283787690603,-0.4796509725676855,1.0222155930885337,-0.11120771717956615,-0.48125748838360116,1.0183120903433776,0.004221402717111465,0.03515768051147461
2.079,-0.11114323680459609,-0.47915992728016216,1.0225277686350998,-0.11120771717956615,-0.48125748838360116,1.0183120903433776,0.004709125583451174,0.00474095344543457
2.086,-0.11112195731180335,-0.47862683426915026,1.022866675465715,-0.11091378928143485,-0.4792128729654535,1.0195155222710426,0.0034083724879471794,0.012049436569213867
2.092,-0.11109900588046745,-0.4780518559199452,1.0232322103460758,-0.11091378928143485,-0.4792128729654535,1.0195155222710426,0.003898209334503757,0.004800558090209961
2.098,-0.1110743895018167,-0.4774351673765221,1.023624261930717,-0.11091378928143485,-0.4792128729654535,1.0195155222710426,0.0044797065956026635,0.022825241088867188
2.105,-0.1110481156742385,-0.47677695648818524,1.0240427107969277,-0.11091378928143485,-0.4792128729654535,1.0195155222710426,0.005142681072450063,0.017029762268066406
2.111,-0.11102019240099525,-0.47607742375234746,1.0244874294811295,-0.11091378928143485,-0.4792128729654535,1.0195155222710426,0.005878964594002375,0.0054967403411865234
2.117,-0.1109906281877865,-0.47533678225345666,1.0249582825177033,-0.11091378928143485,-0.4792128729654535,1.0195155222710426,0.0066823366068903935,0.006570339202880859
2.123,-0.11095943204015797,-0.4745552575980881,1.025455126480253,-0.11063315845852316,-0.4757631084708139,1.0220061184566296,0.0036689255277036563,0.010938882827758789
2.13,-0.11092661346075842,-0.4737330878462226,1.0259778100252943,-0.11063315845852316,-0.4757631084708139,1.0220061184566296,0.00447005967423315,0.005930185317993164
2.136,-0.1108921824464451,-0.47287052343873115,1.0265261739383562,-0.11063315845852316,-0.4757631084708139,1.0220061184566296,0.005372619766188088,0.00728297233581543
2.143,-0.11085614948523846,-0.47196782712108815,1.0271000511824788,-0.11063315845852316,-0.4757631084708139,1.0220061184566296,0.006356259602710493,0.02007269859313965
2.149,-0.11081852555312757,-0.4710252738633365,1.027699266949094,-0.11063315845852316,-0.4757631084708139,1.0220061184566296,0.007409006511322779,0.004754066467285156
2.155,-0.11077932211072661,-0.47004315077632924,1.0283236387112749,-0.11063315845852316,-0.4757631084708139,1.0220061184566296,0.0085235169975646,0.014208793640136719
2.161,-0.11073855109978392,-0.4690217570242728,1.0289729762793338,-0.11063315845852316,-0.4757631084708139,1.0220061184566296,0.009695052081159167,0.012715339660644531
2.167,-0.11069622493954438,-0.4679614037335984,1.0296470818587575,-0.1103243252977903,-0.4705893146870927,1.0255170863308711,0.004909285934165351,0.005856513977050781
2.173,-0.11065235652296644,-0.4668624138981903,1.0303457501104565,-0.1103243252977903,-0.4705893146870927,1.0255170863308711,0.006108468537308802,0.010824918746948242
2.179,-0.11060695921279473,-0.46572512228099855,1.0310687682133128,-0.1103243252977903,-0.4705893146870927,1.0255170863308711,0.00738657034199541,0.008554458618164062
2.186,-0.1105600468374897,-0.4645498753120669,1.0318159159290086,-0.1103243252977903,-0.4705893146870927,1.0255170863308711,0.008729584578619005,0.009344339370727539
2.192,-0.11051163368701535,-0.46333703098300694,1.0325869656691113,-0.1103243252977903,-0.4705893146870927,1.0255170863308711,0.010129851786403287,0.0062389373779296875
2.198,-0.11046173450848626,-0.46208695873795047,1.0333816825644015,-0.1103243252977903,-0.4705893146870927,1.0255170863308711,0.011582780835946053,0.008627176284790039
2.204,-0.11041036450167563,-0.460800039361013,1.034199824536414,-0.10984560347172156,-0.46331086480451883,1.0300525291920417,0.004880907508052403,0.010753393173217773
2.21,-0.11035753931438515,-0.4594766648603034,1.0350411423711783,-0.10984560347172156,-0.46331086480451883,1.0300525291920417,0.0063126404119259166,0.006493568420410156
2.216,-0.1103032750376786,-0.4581172383485145,1.0359053797951323,-0.10984560347172156,-0.46331086480451883,1.0300525291920417,0.007838308440530514,0.005399227142333984
