time,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_dist,error_orient,computation_time,v1,v2,v3,v4,v5,v6
0.724,-0.11126547674251185,-0.4822220244201217,1.0205783476781138,-0.11129273781954076,-0.4822388364787784,1.0203740037357387,0.0002068387256353581,0.00017226298696795226,0.035948753356933594,-0.021188714752422358,-0.061453180841260946,-0.08906706358235847,0.05294366697596564,0.00973329535688534,0.0042269864441379645
0.73,-0.1112629031278373,-0.4821575503849675,1.0206193368175795,-0.11129273781954076,-0.4822388364787784,1.0203740037357387,0.0002601650609163242,0.0003133827162498423,0.005616664886474609,-0.021188714752422358,-0.061453180841260946,-0.08906706358235847,0.05294366697596564,0.00973329535688534,0.0042269864441379645
0.737,-0.11125861464110855,-0.482050115481505,1.0206876381768937,-0.11129273781954076,-0.4822388364787784,1.0203740037357387,0.00036762286217911566,0.0005990610840687731,0.029733657836914062,-0.021188714752422358,-0.061453180841260946,-0.08906706358235847,0.05294366697596564,0.00973329535688534,0.0042269864441379645
0.744,-0.11125261258864017,-0.4818997524354467,1.0207832309508005,-0.11129273781954076,-0.4822388364787784,1.0203740037357387,0.0005329680442054793,0.0010154306492400056,0.009657859802246094,-0.021188714752422358,-0.061453180841260946,-0.08906706358235847,0.05294366697596564,0.00973329535688534,0.0042269864441379645
0.753,-0.11124489879871548,-0.48170650704883283,1.0209060860208152,-0.11129273781954076,-0.4822388364787784,1.0203740037357387,0.0007541715666822386,0.001556154292903498,0.052108049392700195,-0.021188714752422358,-0.061453180841260946,-0.08906706358235847,0.05294366697596564,0.00973329535688534,0.0042269864441379645
0.759,-0.11123547562102963,-0.4814704381860803,1.0210561659640933,-0.11129273781954076,-0.4822388364787784,1.0203740037357387,0.0010291065063410014,0.0022190070346512158,0.007502317428588867,-0.021188714752422358,-0.061453180841260946,-0.08906706358235847,0.05294366697596564,0.00973329535688534,0.0042269864441379645
0.766,-0.11122434592597383,-0.48119161775605157,1.0212334250648303,-0.11122181893565716,-0.48135340432884394,1.0182417851552659,0.002996012454799635,0.0033921203338755966,0.009561538696289062,0.02007356111458459,0.03041023319497011,-0.03948943757559287,-0.0858246206770607,-0.009107639955953324,-0.1802535881616502
0.775,-0.11121151310376101,-0.48087013069015055,1.0214378093281868,-0.11122181893565716,-0.48135340432884394,1.0182417851552659,0.003232372214631572,0.0038512823584936563,0.04511666297912598,0.02007356111458459,0.03041023319497011,-0.03948943757559287,-0.0858246206770607,-0.009107639955953324,-0.1802535881616502
0.782,-0.11119698106339312,-0.4805060749164518,1.0216692564967362,-0.11122181893565716,-0.48135340432884394,1.0182417851552659,0.0035307426767755353,0.00453628327705389,0.008336782455444336,0.02007356111458459,0.03041023319497011,-0.03948943757559287,-0.0858246206770607,-0.009107639955953324,-0.1802535881616502
0.79,-0.11118075423147045,-0.48009956132987075,1.0219276960694292,-0.11122181893565716,-0.48135340432884394,1.0182417851552659,0.0038935520855836346,0.005429323824116919,0.02587437629699707,0.02007356111458459,0.03041023319497011,-0.03948943757559287,-0.0858246206770607,-0.009107639955953324,-0.1802535881616502
0.797,-0.11116283755084316,-0.4796507137583838,1.0222130493230681,-0.11122181893565716,-0.48135340432884394,1.0182417851552659,0.0043212929862436415,0.00650758805772547,0.009326934814453125,0.02007356111458459,0.03041023319497011,-0.03948943757559287,-0.0858246206770607,-0.009107639955953324,-0.1802535881616502
0.804,-0.11114323647910578,-0.4791596689253094,1.0225252293362876,-0.11094347246943706,-0.4795066178270404,1.0193319152774623,0.0032183122717137245,0.0036185523580084702,0.00934910774230957,0.012545945038816777,0.17244879333039517,-0.05628208532614565,-0.0774100098931006,-0.005397408870647136,-0.7339846661476441
0.813,-0.1111219569869346,-0.4786265764076605,1.022864141016032,-0.11094347246943706,-0.4795066178270404,1.0193319152774623,0.0036445779304365065,0.0044492670066092425,0.03234529495239258,0.012545945038816777,0.17244879333039517,-0.05628208532614565,-0.0774100098931006,-0.005397408870647136,-0.7339846661476441
0.82,-0.1110990055562691,-0.4780515985905821,1.0232296811265198,-0.11094347246943706,-0.4795066178270404,1.0193319152774623,0.004163394064179185,0.005663666833736788,0.00823211669921875,0.012545945038816777,0.17244879333039517,-0.05628208532614565,-0.0774100098931006,-0.005397408870647136,-0.7339846661476441
0.828,-0.11107438917833738,-0.47743491061788734,1.0236217383206925,-0.11094347246943706,-0.4795066178270404,1.0193319152774623,0.004765678512799103,0.0071468187724183715,0.05091714859008789,0.012545945038816777,0.17244879333039517,-0.05628208532614565,-0.0774100098931006,-0.005397408870647136,-0.7339846661476441
0.834,-0.11104811535152663,-0.47677670033870656,1.0240401931741312,-0.11094347246943706,-0.4795066178270404,1.0193319152774623,0.005443462168339587,0.008832378044164275,0.018970966339111328,0.012545945038816777,0.17244879333039517,-0.05628208532614565,-0.0774100098931006,-0.005397408870647136,-0.7339846661476441
0.84,-0.11102019207909902,-0.4760771682502672,1.0244849182214333,-0.11094347246943706,-0.4795066178270404,1.0193319152774623,0.006190351334028688,0.010684929706794756,0.004883527755737305,0.012545945038816777,0.17244879333039517,-0.05628208532614565,-0.0774100098931006,-0.005397408870647136,-0.7339846661476441
0.846,-0.11099062786675383,-0.4753365274368197,1.0249557779950418,-0.11075598665591219,-0.47679965265930047,1.021527780064468,0.003734563123914614,0.004511292811759564,0.0060918331146240234,0.03641254962700177,0.2420383745598189,-0.10596711147271975,-0.12772850686342316,-0.02082347484236649,-0.16474954507245573
