time,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_dist,computation_time,v1,v2,v3,v4,v5,v6
1.007,-0.1112654768649157,-0.4822220815972194,1.0205789094012498,-0.11126633483197149,-0.4822435832942127,1.0205653252718476,2.544774356747133e-05,0.04110145568847656,5.792956384676274e-11,2.118616232519688e-06,2.0546820262176885e-06,-4.293487985033134e-09,6.492765335791443e-09,1.4617138563344622e-11
1.013,-0.11126290325021321,-0.48215760754900305,1.020619898412389,-0.11126633483197149,-0.4822435832942127,1.0205653252718476,0.00010189127630113543,0.005358457565307617,5.792956384676274e-11,2.118616232519688e-06,2.0546820262176885e-06,-4.293487985033134e-09,6.492765335791443e-09,1.4617138563344622e-11
1.019,-0.11125861476343785,-0.48205017262377464,1.0206881995578692,-0.11126633483197149,-0.4822435832942127,1.0205653252718476,0.00022927140480827405,0.009153127670288086,5.792956384676274e-11,2.118616232519688e-06,2.0546820262176885e-06,-4.293487985033134e-09,6.492765335791443e-09,1.4617138563344622e-11
1.027,-0.11125261271090424,-0.4818998095472533,1.0207837920324996,-0.11126633483197149,-0.4822435832942127,1.0205653252718476,0.00040754927458508947,0.021156787872314453,5.792956384676274e-11,2.118616232519688e-06,2.0546820262176885e-06,-4.293487985033134e-09,6.492765335791443e-09,1.4617138563344622e-11
1.033,-0.11124489892089574,-0.48170656412148877,1.0209066467178867,-0.11126633483197149,-0.4822435832942127,1.0205653252718476,0.0006366705739100191,0.009393692016601562,5.792956384676274e-11,2.118616232519688e-06,2.0546820262176885e-06,-4.293487985033134e-09,6.492765335791443e-09,1.4617138563344622e-11
1.039,-0.1112354757431075,-0.48147049521090957,1.0210567261913028,-0.11126633483197149,-0.4822435832942127,1.0205653252718476,0.0009165655085983933,0.021788597106933594,5.792956384676274e-11,2.118616232519688e-06,2.0546820262176885e-06,-4.293487985033134e-09,6.492765335791443e-09,1.4617138563344622e-11
1.045,-0.11122434604793079,-0.48119167472439284,1.021233984737087,-0.11123432089257869,-0.48141018099459987,1.0183355996901116,0.0029066269743771053,0.005712032318115234,0.016391186957157935,0.019978846221694303,-0.046450743592050425,-0.09740433122120334,-0.004938035057778059,-0.21295773062551013
1.053,-0.11121151322557853,-0.4808701875933598,1.021438368360569,-0.11123432089257869,-0.48141018099459987,1.0183355996901116,0.003149489877016445,0.020351171493530273,0.016391186957157935,0.019978846221694303,-0.046450743592050425,-0.09740433122120334,-0.004938035057778059,-0.21295773062551013
1.06,-0.11119698118505275,-0.4805061317459048,1.0216698148045167,-0.11123432089257869,-0.48141018099459987,1.0183355996901116,0.0034548067568174997,0.0229952335357666,0.016391186957157935,0.019978846221694303,-0.046450743592050425,-0.09740433122120334,-0.004938035057778059,-0.21295773062551013
1.068,-0.11118075435295376,-0.4800996180769656,1.0219282535681018,-0.11123432089257869,-0.48141018099459987,1.0183355996901116,0.0038246053943228847,0.016898393630981445,0.016391186957157935,0.019978846221694303,-0.046450743592050425,-0.09740433122120334,-0.004938035057778059,-0.21295773062551013
1.076,-0.11116283767213181,-0.4796507704145439,1.0222136059283728,-0.11123432089257869,-0.48141018099459987,1.0183355996901116,0.004259057152001109,0.02928638458251953,0.016391186957157935,0.019978846221694303,-0.046450743592050425,-0.09740433122120334,-0.004938035057778059,-0.21295773062551013
1.082,-0.11114323660018144,-0.47915972548198565,1.022525784964237,-0.11123432089257869,-0.48141018099459987,1.0183355996901116,0.004757152403915131,0.006539106369018555,0.016391186957157935,0.019978846221694303,-0.046450743592050425,-0.09740433122120334,-0.004938035057778059,-0.21295773062551013
1.088,-0.11112195710777906,-0.4786266328563342,1.0228646955829357,-0.11093377278453129,-0.47939095455221076,1.0193474279625998,0.0036042714253184454,0.0060007572174072266,0.02022915157338868,0.17878624564152581,-0.05715405105515238,-0.08038622791307981,-0.011034067298881248,-0.5544675394396269
1.094,-0.11109900567686418,-0.4780516549227676,1.0232302345490112,-0.11093377278453129,-0.47939095455221076,1.0193474279625998,0.004110621898644405,0.005919218063354492,0.02022915157338868,0.17878624564152581,-0.05715405105515238,-0.08038622791307981,-0.011034067298881248,-0.5544675394396269
1.102,-0.11107438929866499,-0.4774349668251342,1.0236222905157537,-0.11093377278453129,-0.47939095455221076,1.0193474279625998,0.004703202190091208,0.042456626892089844,0.02022915157338868,0.17878624564152581,-0.05715405105515238,-0.08038622791307981,-0.011034067298881248,-0.5544675394396269
1.108,-0.11104811547156877,-0.4767767564126026,1.0240407440591175,-0.11093377278453129,-0.47939095455221076,1.0193474279625998,0.005373483241347439,0.009798526763916016,0.02022915157338868,0.17878624564152581,-0.05715405105515238,-0.08038622791307981,-0.011034067298881248,-0.5544675394396269
1.115,-0.11102019219883776,-0.47607722418244064,1.0244854677140998,-0.11093377278453129,-0.47939095455221076,1.0193474279625998,0.006114550659427037,0.026255130767822266,0.02022915157338868,0.17878624564152581,-0.05715405105515238,-0.08038622791307981,-0.011034067298881248,-0.5544675394396269
1.1219999999999999,-0.11099062798617133,-0.47533658321894223,1.024956326013567,-0.11093377278453129,-0.47939095455221076,1.0193474279625998,0.006921047375081811,0.012522459030151367,0.02022915157338868,0.17878624564152581,-0.05715405105515238,-0.08038622791307981,-0.011034067298881248,-0.5544675394396269
1.129,-0.11095943183911508,-0.47455505912851953,1.0254531755295202,-0.11067102411606265,-0.47613906512740445,1.0218543811609813,0.003942534074202437,0.05044150352478027,0.03899262570747675,0.28278992994071595,-0.11559158965735877,-0.14672144238016718,-0.020364464741464198,-0.17816806310292177
