time,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,error_norm,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6
12.749,0.5899079999999998,-0.501033,1.0000000012516979,0.5898962146134595,-0.5011893944669567,0.9949168805045039,1.1785386540230647e-05,0.00015639446695669967,0.00508312074719397,0.00508553976045654,0.025109898820230216,0.866708363502279,0.32974854727209646,0.18158342783809403,0.014316893295926676,0.021087000371249973
12.758,0.5899079999999998,-0.501033,1.0000000012516979,0.5899088913587817,-0.5011744163061183,0.9949171000043395,-8.913587818959456e-07,0.0001414163061183027,0.005082901247358329,0.00508486818477662,0.009825390745682944,0.39404922375936474,0.14991987210156238,0.08243423999767144,0.005567107614407442,0.009639774468109688
12.768,0.5899079999999998,-0.501033,1.0000000012516979,0.5899197827730209,-0.5011615176513754,0.9949172512986357,-1.1782773021162818e-05,0.00012851765137544824,0.005082749953062127,0.005084388134850464,0.008463236997341196,0.39412613946212466,0.14994888926677102,0.0823483623479727,0.004742795938286754,0.009669723573900346
12.778,0.5899079999999998,-0.501033,1.0000000012516979,0.5899371707330674,-0.5011408728294845,0.9949174755060689,-2.9170733067629406e-05,0.00010787282948454546,0.005082525745628952,0.005083754068991717,0.0062890622726324945,0.3942026646233644,0.14997744544052122,0.08220892001699581,0.003407047316823088,0.009684157665998065
12.788,0.5899079999999998,-0.501033,1.0000000012516979,0.5899440730182778,-0.5011326645833675,0.994917587922321,-3.607301827801557e-05,9.966458336752027e-05,0.005082413329376867,0.005083518421571142,0.00542620059667964,0.3942786349199798,0.15000591047064915,0.08216527053578361,0.0028750206750794024,0.009680228500474189
12.798,0.5899079999999998,-0.501033,1.0000000012516979,0.5899500060778886,-0.5011256069437525,0.9949177132371265,-4.200607788884536e-05,9.260694375257117e-05,0.0050822880145713345,0.005083305225900392,0.004683985009124753,0.3943528171763661,0.1500335743529675,0.08213010249434366,0.0024187719463535434,0.009672304722568694
12.808,0.5899079999999998,-0.501033,1.0000000012516979,0.5899551090850351,-0.5011195382923982,0.9949178532098637,-4.710908503535727e-05,8.653829239824162e-05,0.005082148041834156,0.005083103074015204,0.004045154555874537,0.39442524296588083,0.1500604703680814,0.08210154985209163,0.0020281288313822427,0.00966226514596714
12.818,0.5899079999999998,-0.501033,1.0000000012516979,0.589963282787287,-0.5011098304009627,0.9949181657128783,-5.5282787287280755e-05,7.683040096273519e-05,0.005081835538819579,0.005082716944773929,0.003020468882370155,0.39448736936622875,0.15008263041163986,0.08204281988340847,0.0014074772365252537,0.00963849337614968
12.828,0.5899079999999998,-0.501033,1.0000000012516979,0.589966541063739,-0.5011059684720159,0.9949183280585361,-5.854106373925916e-05,7.296847201598844e-05,0.005081673193161773,0.005082534200194923,0.0026121610318428764,0.39455677720143356,0.15010829364849818,0.08202742771584506,0.0011625335542636268,0.009628014070344196
12.838,0.5899079999999998,-0.501033,1.0000000012516979,0.5899693492541401,-0.5011026452068033,0.9949184871480352,-6.134925414036374e-05,6.964520680330377e-05,0.005081514103662643,0.005082361633289844,0.002260297796483181,0.39462610619357175,0.15013396623435243,0.08201525704221539,0.0009525933042007679,0.009618298336196054
12.848,0.5899079999999998,-0.501033,1.0000000012516979,0.5899717701148884,-0.5010997847306197,0.9949186383355466,-6.377011488867268e-05,6.678473061971779e-05,0.005081362916151244,0.005082201876493489,0.0019570500829546784,0.39469573843386613,0.15015981636836023,0.0820060419850863,0.0007724586212307844,0.009609501709820098
12.858,0.5899079999999998,-0.501033,1.0000000012516979,0.5899756568264433,-0.5010952008373851,0.9949189046205802,-6.765682644349624e-05,6.220083738517346e-05,0.005081096631117665,0.005081927721356445,0.0014700834992054386,0.39475816148650694,0.15018251932624446,0.08197942831277141,0.0004845574602571929,0.009592931486237374
12.868,0.5899079999999998,-0.501033,1.0000000012516979,0.5899772081772686,-0.5010933735292176,0.9949190168340012,-6.920817726885353e-05,6.037352921761663e-05,0.005080984417696666,0.005081814379501419,0.0012759185557071734,0.39482997903993305,0.15020944373799924,0.08197810695221391,0.00037005546833950476,0.009587035151651215
12.878,0.5899079999999998,-0.501033,1.0000000012516979,0.5899785453749292,-0.5010917988081222,0.9949191151242733,-7.054537492945379e-05,5.8798808122206836e-05,0.005080886127424522,0.005081716028037722,0.0011085549244879297,0.3949026297630459,0.15023676287307264,0.08197911964231919,0.00027144515272329705,0.0095820198606873
12.888,0.5899079999999998,-0.501033,1.0000000012516979,0.5899796977563958,-0.5010904413413744,0.9949192006197888,-7.169775639603859e-05,5.744134137442014e-05,0.005080800631909077,0.005081631149264849,0.0009642841942940556,0.39497604628589933,0.1502644423029461,0.08198228916402013,0.0001864781015236545,0.00957781441664086
12.898,0.5899079999999998,-0.501033,1.0000000012516979,0.5899815459879231,-0.5010882612105606,0.9949193402170075,-7.354598792330691e-05,5.526121056065314e-05,0.0050806610346904035,0.00508149381217311,0.0007325124583772497,0.39504595775660445,0.15029070056426347,0.08197794243322505,5.008723235497125e-05,0.009569623504573159
12.908,0.5899079999999998,-0.501033,1.0000000012516979,0.5899822826814405,-0.501087390209171,0.9949193982882207,-7.428268144071826e-05,5.4390209171084614e-05,0.005080602963477121,0.005081437068793453,0.0006400507221749603,0.3951209598182418,0.15031912436047412,0.08198633883688572,-4.3422460018076595e-06,0.009567400504773399
